"equipmentnumber","type","description","stationnumber","createdAt","updatedAt","x","y"
10495456,"ELEVATOR","zu Gleis 1/2",4032,2018-07-19 10:51:18,2019-11-13 10:45:12,7.63401,51.1081
10495457,"ELEVATOR","zu Gleis 1",177,2018-07-19 10:51:18,2019-11-13 10:45:12,8.0673484,51.405452
10495458,"ELEVATOR","zu Gleis 2/3",177,2018-07-19 10:51:18,2019-11-13 10:45:12,8.0672284,51.4055573
10495459,"ELEVATOR","zu Gleis 1",6731,2018-07-19 10:51:18,2019-11-13 10:45:12,7.8705354,51.4934238
10495460,"ELEVATOR","zu Gleis 2",6731,2018-07-19 10:51:18,2019-11-13 10:45:12,7.8705554,51.4932879
10495821,"ELEVATOR","zu Gleis 11/12 (S-Bahn)",545,2018-07-19 10:51:18,2019-11-13 10:45:12,13.5249712,52.4814604
10496150,"ELEVATOR","zu Gleis 1",692,2018-07-19 10:51:17,2019-11-13 10:45:12,8.4649948,49.0664645
10496151,"ELEVATOR","zu Gleis 2/3",692,2018-07-19 10:51:17,2019-11-13 10:45:12,8.4646073,49.0664952
10496152,"ELEVATOR","zu Gleis 1",3110,2018-07-19 10:51:17,2019-11-13 10:45:12,8.4536183,49.0263337
10496153,"ELEVATOR","zu Gleis 2",3110,2018-07-19 10:51:17,2019-11-13 10:45:12,8.453846,49.0263069
10496398,"ELEVATOR","zu Gleis 1",1783,2018-07-19 10:51:16,2019-11-13 10:45:11,11.2034326,49.3819637
10496401,"ELEVATOR","zu Gleis 4/5",1783,2018-07-19 10:51:17,2019-11-13 10:45:11,11.2035859,49.382194
10496750,"ELEVATOR","zu Gleis 1/2 (S-Bahn)",203,2018-07-19 10:51:18,2019-11-13 10:45:12,13.3612496,52.4471296
10499215,"ELEVATOR","zu Gleis 3-8",443,2018-07-19 10:51:17,2019-11-13 10:45:12,9.7977875,50.9696772
10499216,"ELEVATOR","zu Gleis 9/10",443,2018-07-19 10:51:17,2019-11-13 10:45:12,9.7980168,50.9697614
10499217,"ELEVATOR","von EG zu Tunnel",443,2018-07-19 10:51:17,2019-11-13 10:45:12,9.7982727,50.9698587
10499219,"ELEVATOR","zu Gleis 1",1616,2018-07-19 10:51:17,2019-11-13 10:45:12,8.38816,50.1396
10499220,"ELEVATOR","zu Gleis 2/3",1616,2018-07-19 10:51:17,2019-11-13 10:45:12,8.38804,50.1395
10499221,"ELEVATOR","zu Gleis 1/2",1872,2018-07-19 10:51:17,2019-11-13 10:45:12,8.5424368,50.1023856
10499222,"ELEVATOR","zu Gleis 3/4",1872,2018-07-19 10:51:17,2019-11-13 10:45:12,8.5423971,50.1025194
10499223,"ELEVATOR","zu Gleis 5/6",1872,2018-07-19 10:51:17,2019-11-13 10:45:12,8.5423573,50.1026518
10499224,"ELEVATOR","zu Gleis 10/11",1872,2018-07-19 10:51:17,2019-11-13 10:45:12,8.5424095,50.102975
10499226,"ELEVATOR","zu Gleis 12/13",1872,2018-07-19 10:51:18,2019-11-13 10:45:12,8.5423605,50.1031407
10499252,"ELEVATOR","Gleis 1/2 (S-Bahn) - Zw.ebene",2519,2018-07-19 10:51:18,2019-11-13 10:45:12,9.99026,53.45706
10499253,"ELEVATOR","zu Gleis 1/2",3517,2018-07-19 10:51:18,2019-11-13 10:45:12,9.9722959,53.5461541
10499257,"ELEVATOR",NA,6550,2018-12-13 10:55:13,2019-11-13 10:45:12,13.45,52.50633
10499260,"ELEVATOR","von Gleis 5/6 zu Gleis 13/14",4809,2018-07-19 10:51:18,2019-11-13 10:45:12,13.4698599,52.5031696
10499261,"ELEVATOR","von Gleis 3/4 zu Gleis 13/14",4809,2018-07-19 10:51:18,2019-11-13 10:45:12,13.46978,52.503
10499262,"ELEVATOR","von Gleis 3/4 zu Gleis 11/12",4809,2018-07-19 10:51:18,2019-11-13 10:45:12,13.46934,52.50307
10499274,"ELEVATOR","zu Gleis 2/3",6945,2019-03-12 13:39:19,2019-11-13 10:45:12,9.936684,49.80149
10499275,"ELEVATOR","zu Gleis 4/5",6945,2019-03-12 13:39:19,2019-11-13 10:45:12,9.936684,49.80149
10499276,"ELEVATOR","zu Gleis 6/7",6945,2019-03-12 13:39:19,2019-11-13 10:45:12,9.936684,49.80149
10499279,"ELEVATOR","zu Gleis 1",163,2018-07-19 10:51:18,2019-11-13 10:45:12,10.9312238,49.4114595
10499280,"ELEVATOR","zu Gleis 2",163,2018-07-19 10:51:18,2019-11-13 10:45:12,10.9312409,49.4116434
10499281,"ELEVATOR","zu Gleis 1",3045,2018-07-19 10:51:18,2019-11-13 10:45:12,11.5779918,50.9234861
10499282,"ELEVATOR","zu Gleis 1/2",1359,2018-07-19 10:51:18,2019-11-13 10:45:12,13.7050196,51.0896729
10499283,"ELEVATOR","zu Gleis 1/2",1354,2018-07-19 10:51:18,2019-11-13 10:45:12,13.7259231,51.0816274
10499290,"ELEVATOR","zu Gleis 3/4",636,2018-07-19 10:51:18,2019-11-13 10:45:12,9.13749,48.94828
10499292,"ELEVATOR",NA,6323,2019-08-02 10:20:14,2019-11-13 10:45:12,9.98307,48.39847
10499296,"ELEVATOR","zu Gleis 1/2",80,2018-07-19 10:51:18,2019-11-13 10:45:12,7.6682299,51.3021463
10499297,"ELEVATOR","von EG zu Tunnel",80,2018-07-19 10:51:18,2019-11-13 10:45:12,7.6682239,51.3020542
10499298,"ELEVATOR","zur Personenüberführung",727,2019-03-12 13:39:19,2019-11-13 10:45:12,7.14189,51.4263
10499299,"ELEVATOR","zu Gleis 1/2",1414,2018-07-19 10:51:18,2019-11-13 10:45:12,6.739607,51.2105692
10499300,"ELEVATOR",NA,2798,2019-06-06 15:20:16,2019-11-13 10:45:12,6.9439524,51.2188114
10499301,"ELEVATOR","zu Gleis 1",3095,2018-07-19 10:51:18,2019-11-13 10:45:12,7.6618,51.58551
10499303,"ELEVATOR","führt zu Gleis 2",4016,2018-07-19 10:51:18,2019-11-13 10:45:12,7.01512,50.6273
10499304,"ELEVATOR","zu Gleis 2/3",2771,2018-10-01 13:10:14,2019-11-13 10:45:12,7.6540147,51.9054579
10499305,"ELEVATOR","zu Gleis 1/2",5032,2018-07-19 10:51:18,2019-11-13 10:45:12,7.53967,51.58815
10499306,"ELEVATOR","zu Gleis 3/4/54/55",5842,2019-04-02 11:55:20,2019-11-13 10:45:12,8.01638,50.87593
10499308,"ELEVATOR","zu Gleis 2/3",1793,2018-07-19 10:51:18,2019-11-13 10:45:12,7.9646433,51.1733148
10499353,"ELEVATOR","zu Gleis 1",3609,2018-07-19 10:51:18,2019-11-13 10:45:12,7.4650648,53.2309711
10499354,"ELEVATOR","zu Gleis 2/4",3609,2018-07-19 10:51:18,2019-11-13 10:45:12,7.4653038,53.2309711
10499357,"ELEVATOR","zu Gleis 1",425,2018-07-19 10:51:18,2019-11-13 10:45:12,8.7395734,52.8473587
10499358,"ELEVATOR","zu Gleis 2/4",425,2018-07-19 10:51:18,2019-11-13 10:45:12,8.739753,52.847243
10499359,"ELEVATOR","zu Gleis 1",2740,2018-07-19 10:51:18,2019-11-13 10:45:12,10.3298787,51.6442239
